"date","indexP","daily_indexP","week_start_date","weekly_indexP"
2014-01-01,1.17767963578936,1.17767963578936,2014-01-01,1.18449022345645
2014-01-02,1.18701709420396,1.18701709420396,2014-01-01,1.18449022345645
2014-01-03,1.19235343959468,1.19235343959468,2014-01-01,1.18449022345645
2014-01-04,1.18365103541067,1.18365103541067,2014-01-01,1.18449022345645
2014-01-05,1.17329313341521,1.17329313341521,2014-01-01,1.18449022345645
2014-01-06,1.18781154788681,1.18781154788681,2014-01-01,1.18449022345645
2014-01-07,1.18962567789447,1.18962567789447,2014-01-01,1.18449022345645
2014-01-08,1.18267782811388,1.18267782811388,2014-01-08,1.15502525418734
2014-01-09,1.1748778931452,1.1748778931452,2014-01-08,1.15502525418734
2014-01-10,1.17316400418974,1.17316400418974,2014-01-08,1.15502525418734
2014-01-11,1.16241696747811,1.16241696747811,2014-01-08,1.15502525418734
2014-01-12,1.1450925787098,1.1450925787098,2014-01-08,1.15502525418734
2014-01-13,1.13116312562482,1.13116312562482,2014-01-08,1.15502525418734
2014-01-14,1.11578438204985,1.11578438204985,2014-01-08,1.15502525418734
2014-01-15,1.10766932224728,1.10766932224728,2014-01-15,1.07832869972491
2014-01-16,1.08595243773576,1.08595243773576,2014-01-15,1.07832869972491
2014-01-17,1.07121114525701,1.07121114525701,2014-01-15,1.07832869972491
2014-01-18,1.0724204671466,1.0724204671466,2014-01-15,1.07832869972491
2014-01-19,1.07193028919298,1.07193028919298,2014-01-15,1.07832869972491
2014-01-20,1.07273073819211,1.07273073819211,2014-01-15,1.07832869972491
2014-01-21,1.06638649830263,1.06638649830263,2014-01-15,1.07832869972491
2014-01-22,1.07150747707696,1.07150747707696,2014-01-22,1.04372023429497
2014-01-23,1.0766799907517,1.0766799907517,2014-01-22,1.04372023429497
2014-01-24,1.060559808563,1.060559808563,2014-01-22,1.04372023429497
2014-01-25,1.04352000444188,1.04352000444188,2014-01-22,1.04372023429497
2014-01-26,1.03252869406606,1.03252869406606,2014-01-22,1.04372023429497
2014-01-27,1.01909996876841,1.01909996876841,2014-01-22,1.04372023429497
2014-01-28,1.00214569639681,1.00214569639681,2014-01-22,1.04372023429497
2014-01-29,0.987227244624196,0.987227244624196,2014-01-29,0.987152702170238
2014-01-30,0.979815649169448,0.979815649169448,2014-01-29,0.987152702170238
2014-01-31,0.984305096317649,0.984305096317649,2014-01-29,0.987152702170238
2014-02-01,0.986748697283913,0.986748697283913,2014-01-29,0.987152702170238
2014-02-02,0.987108221727742,0.987108221727742,2014-01-29,0.987152702170238
2014-02-03,0.992117854364934,0.992117854364934,2014-01-29,0.987152702170238
2014-02-04,0.992746151703786,0.992746151703786,2014-01-29,0.987152702170238
2014-02-05,0.978170998776932,0.978170998776932,2014-02-05,0.950959084032658
2014-02-06,0.966811392399925,0.966811392399925,2014-02-05,0.950959084032658
2014-02-07,0.951491456736344,0.951491456736344,2014-02-05,0.950959084032658
2014-02-08,0.950283849699121,0.950283849699121,2014-02-05,0.950959084032658
2014-02-09,0.943574416826342,0.943574416826342,2014-02-05,0.950959084032658
2014-02-10,0.934161005593699,0.934161005593699,2014-02-05,0.950959084032658
2014-02-11,0.932220468196244,0.932220468196244,2014-02-05,0.950959084032658
2014-02-12,0.929332402376597,0.929332402376597,2014-02-12,0.933067852441934
2014-02-13,0.924116609960672,0.924116609960672,2014-02-12,0.933067852441934
2014-02-14,0.917870207839237,0.917870207839237,2014-02-12,0.933067852441934
2014-02-15,0.934142168081252,0.934142168081252,2014-02-12,0.933067852441934
2014-02-16,0.942901011154244,0.942901011154244,2014-02-12,0.933067852441934
2014-02-17,0.94278074254309,0.94278074254309,2014-02-12,0.933067852441934
2014-02-18,0.940331825138443,0.940331825138443,2014-02-12,0.933067852441934
2014-02-19,0.941855331537163,0.941855331537163,2014-02-19,0.992934383944937
2014-02-20,0.955662556052797,0.955662556052797,2014-02-19,0.992934383944937
2014-02-21,0.977634699622668,0.977634699622668,2014-02-19,0.992934383944937
2014-02-22,0.991998721231332,0.991998721231332,2014-02-19,0.992934383944937
2014-02-23,1.0162988000072,1.0162988000072,2014-02-19,0.992934383944937
2014-02-24,1.02917702735663,1.02917702735663,2014-02-19,0.992934383944937
2014-02-25,1.03791355180677,1.03791355180677,2014-02-19,0.992934383944937
2014-02-26,1.05549200461569,1.05549200461569,2014-02-26,1.07754017183578
2014-02-27,1.07471614426517,1.07471614426517,2014-02-26,1.07754017183578
2014-02-28,1.09133539342786,1.09133539342786,2014-02-26,1.07754017183578
2014-03-01,1.10076783030966,1.10076783030966,2014-02-26,1.07754017183578
2014-03-02,1.08906232165115,1.08906232165115,2014-02-26,1.07754017183578
2014-03-03,1.07526833455732,1.07526833455732,2014-02-26,1.07754017183578
2014-03-04,1.05613917402359,1.05613917402359,2014-02-26,1.07754017183578
2014-03-05,1.03649610254012,1.03649610254012,2014-03-05,1.06358541008399
2014-03-06,1.02781698715688,1.02781698715688,2014-03-05,1.06358541008399
2014-03-07,1.05357727013528,1.05357727013528,2014-03-05,1.06358541008399
2014-03-08,1.07826225775925,1.07826225775925,2014-03-05,1.06358541008399
2014-03-09,1.08268086602171,1.08268086602171,2014-03-05,1.06358541008399
2014-03-10,1.07220945564473,1.07220945564473,2014-03-05,1.06358541008399
2014-03-11,1.09405493132997,1.09405493132997,2014-03-05,1.06358541008399
2014-03-12,1.11064890427733,1.11064890427733,2014-03-12,1.16487130601189
2014-03-13,1.12121728513039,1.12121728513039,2014-03-12,1.16487130601189
