"date","indexP","indexPlower","indexPupper","indexPsmooth7","indexPsmooth15","indexPsmooth30","indexPsmooth60"
"2014-01-01","1.17767963578936","0.400588223327853","2.19778047943355",1.18511091138301,1.17830114884871,1.14303634316888,1.07764340324829
"2014-01-02","1.18701709420396","0.39870567584245","2.19990254653431",1.1835831780295,1.18050227255169,1.14338595493916,1.07869999561331
"2014-01-03","1.19235343959468","0.396477369984349","2.19850500832235",1.18343859381779,1.18142051619081,1.14350934399004,1.07963873572472
"2014-01-04","1.18365103541067","0.392267922632363","2.18168794023161",1.18449022345645,1.18089000083549,1.14352916847339,1.08054033807114
"2014-01-05","1.17329313341521","0.387110620074094","2.16209413912095",1.18520425093138,1.17898240070096,1.14367031018046,1.08127133219292
"2014-01-06","1.18781154788681","0.389570060386478","2.17790731308881",1.18347007935156,1.17546079128329,1.14338483473111,1.08189321623979
"2014-01-07","1.18962567789447","0.389546166897085","2.17842537505155",1.18072873143657,1.17059150759536,1.14348770614709,1.08213648473962
"2014-01-08","1.18267782811388","0.388193051644261","2.16690864836546",1.17769529316049,1.16561851105026,1.14245015166104,1.08182819766906
"2014-01-09","1.1748778931452","0.387778333848802","2.16555333846932",1.17366664248829,1.15950336451335,1.13974011069313,1.08137582625346
"2014-01-10","1.17316400418974","0.389029982642868","2.16753066277782",1.16557401073658,1.15178296791689,1.13587776585442,1.08075046924635
"2014-01-11","1.16241696747811","0.3891071653782","2.1618550030037",1.15502525418734,1.14378743642035,1.13128289906303,1.0797134611918
"2014-01-12","1.1450925787098","0.385351800311424","2.15100762157221",1.14430975334926,1.1363393866725,1.12612934533105,1.07832803604902
"2014-01-13","1.13116312562482","0.381160751024005","2.14435984536796",1.13160611686219,1.12963522699096,1.12006795964795,1.07654775262735
"2014-01-14","1.11578438204985","0.375704994798684","2.12467982296092",1.11704142272895,1.12154022368535,1.11334807988979,1.07443749885057
"2014-01-15","1.10766932224728","0.368197731206463","2.10988482495451",1.10418477982445,1.11366567696418,1.10659979251465,1.07227311416622
"2014-01-16","1.08595243773576","0.35537787031028","2.08051540357943",1.09373302417919,1.10659915447337,1.10015397453226,1.07040091608168
"2014-01-17","1.07121114525701","0.348085259981244","2.05976827417066",1.08538554026023,1.09897794883456,1.09347836130159,1.06843721973177
"2014-01-18","1.0724204671466","0.348332635343816","2.05893041279013",1.07832869972491,1.09033501551803,1.08663685403936,1.06633825218049
"2014-01-19","1.07193028919298","0.348555001155559","2.05701623288233",1.07316272184344,1.08167579729056,1.08025241467117,1.06415485668792
"2014-01-20","1.07273073819211","0.348673790972872","2.06235172853374",1.07183808656,1.07327628996114,1.07423418194745,1.06204417076387
"2014-01-21","1.06638649830263","0.345979963035241","2.0618542082068",1.07031646703228,1.0646751280126,1.06724616364379,1.0600560340017
"2014-01-22","1.07150747707696","0.347465647413969","2.07575254704123",1.06618782950304,1.05610465218423,1.05981902079397,1.05854292341878
"2014-01-23","1.0766799907517","0.349271662040828","2.08764141617873",1.06055903019919,1.04758107397904,1.05211280841472,1.05661279168375
"2014-01-24","1.060559808563","0.337190827683793","2.07651358224867",1.05289749171009,1.04080458455116,1.04462634029985,1.05452008772386
"2014-01-25","1.04352000444188","0.323125285737555","2.0641655902699",1.04372023429497,1.03517375468629,1.0369733540544,1.05234986568642
"2014-01-26","1.03252869406606","0.314375614851752","2.05361558953057",1.03168020108744,1.02948627165837,1.02936482199159,1.05014217991974
"2014-01-27","1.01909996876841","0.30783172514771","2.03318903429564",1.01784243800426,1.02416544266983,1.02226908497447,1.04817193698454
"2014-01-28","1.00214569639681","0.293806290986434","2.01519008444319",1.00694890768349,1.01883313690394,1.01554139419953,1.04635075160746
"2014-01-29","0.987227244624196","0.285112567806248","2.00317677090335",0.99883872094664,1.01295210360223,1.00915246846322,1.04472594754178
"2014-01-30","0.979815649169448","0.279673009823958","1.99497366449905",0.992350082041166,1.00597236462376,1.00282583131629,1.04336767353988
"2014-01-31","0.984305096317649","0.285121466730128","1.9906417532218",0.988495494269242,0.997626462356068,0.997765488994473,1.04189071830424
"2014-02-01","0.986748697283913","0.285925780610547","1.99387854733767",0.987152702170238,0.990274731765143,0.99348848452438,1.04002823897679
"2014-02-02","0.987108221727742","0.286078263575802","1.99503042509228",0.985858952763486,0.983611692590774,0.98916716037093,1.03775800121728
"2014-02-03","0.992117854364934","0.293351820751576","1.99023195724753",0.984001201796411,0.977053846692617,0.984780544902445,1.03530541900277
"2014-02-04","0.992746151703786","0.298343297766011","1.98266004928178",0.979313538999082,0.971261879987806,0.980418031347281,1.03288081656513
"2014-02-05","0.978170998776932","0.290558740489884","1.96096541758338",0.974104275058398,0.966407660386458,0.976727233272286,1.0306435786026
"2014-02-06","0.966811392399925","0.285422720525307","1.94181946573339",0.967885160072484,0.962200284742223,0.973598140690476,1.02878752160035
"2014-02-07","0.951491456736344","0.277377047872411","1.91887016607619",0.959605610248021,0.958070588653543,0.970775431706464,1.02712090556548
"2014-02-08","0.950283849699121","0.277247146477219","1.91570988774481",0.950959084032658,0.954726393437783,0.969300064754604,1.02540976494047
"2014-02-09","0.943574416826342","0.270568641925206","1.91022882263789",0.943982141689753,0.951803214362471,0.968821965518429,1.02409128039281
"2014-02-10","0.934161005593699","0.267517111384269","1.900839036036",0.937882887055574,0.948848049083495,0.969001460776453,1.02322847933946
"2014-02-11","0.932220468196244","0.266834383550934","1.89718505520563",0.933079851498845,0.945395647135062,0.970214528638029,1.02283055777981
