state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Centre-West.North	location.rates.Centre-West.Northeast	location.rates.Centre-West.RJ	location.rates.North.Northeast	location.rates.North.RJ	location.rates.Northeast.RJ	location.rates.North.Centre-West	location.rates.Northeast.Centre-West	location.rates.RJ.Centre-West	location.rates.Northeast.North	location.rates.RJ.North	location.rates.RJ.Northeast	location.branchRates	location.treeLikelihood
2000	-65.26876073547491	-15.538405654863446	-49.73035508061147	0.08088188836191751	0.08088188836191744	0.9439227659553878	2.3063723301992174	0.34942360916128734	0.7239341975543688	0.052355541656495315	2.0884305946361064	0.08505750464588115	1.2686598880614863	0.43718624988701743	1.7384457447189148	0.20297756864487698	0.7233540914936587	0.0	-49.73035508061147
4000	-64.21664369270424	-11.11225929193818	-53.10438440076606	0.03957361309424799	0.03957361309424804	1.1857217627778887	0.5027553120614151	0.7875162463217601	0.9069474023930909	0.11021420588449479	1.4774171398320273	0.31471643880000727	1.280648194611889	0.9960625136530101	1.6110087751622297	0.9533761092585038	0.6123371117216139	0.0	-53.10438440076606
6000	-66.26947744255209	-16.959084746849708	-49.310392695702376	0.06635952089924387	0.06635952089924382	0.017572730089504822	0.018282946009692366	2.2373501983393376	1.0961942951785237	2.3890165568987527	1.651065722942585	0.5984586940006983	1.3890319522173853	0.0322883607683193	2.89758366309664	0.4490456834876325	0.9574088870372574	0.0	-49.310392695702376
8000	-64.56791278039239	-17.70744291266966	-46.86046986772273	0.06320193683147825	0.06320193683147823	0.10455478394758926	0.4875675039616875	1.9383846145760275	0.9107240609652377	0.09876769920431541	1.2149677218290957	0.7584758851169039	2.3937463275588624	0.17440413577487382	5.767607860889471	0.29097331681504646	0.792261332117393	0.0	-46.86046986772273
10000	-75.5643574956424	-23.048616357605813	-52.51574113803658	0.07636698076818185	0.0763669807681818	0.9262718653235956	0.2991345485285681	0.47421909801594986	2.826076391797495	3.930740073113179	1.4567784239795754	0.19216592631909726	1.3323373199854294	2.8310285572339353	2.790044791774006	0.7170739831702205	0.8298782778013863	0.0	-52.51574113803658
12000	-63.13631508249432	-9.652027035673115	-53.484288046821206	0.04263895846198971	0.04263895846198968	0.24678950558024457	0.3052373621013519	0.16916906216801092	0.8706504397268924	0.18998711881680297	0.8053603130261441	0.9141100689846466	1.5391109994214627	0.6222974700185142	1.824967733929045	0.3231490991724583	0.9320850986391941	0.0	-53.484288046821206
14000	-58.87662545533034	-13.111209722750555	-45.76541573257978	0.08260010512054675	0.08260010512054676	0.23452852112414932	0.052773752926266876	0.282284876264902	0.6015081516848381	0.0543524356444185	2.566277796193349	0.3882735791070483	0.6312778610659706	0.06637323450691661	2.4601773391210138	0.15279053671074314	0.15009792812028666	0.0	-45.76541573257978
16000	-64.01987941474707	-13.982924830965361	-50.0369545837817	0.04684612894497876	0.0468461289449788	0.044832140150997686	0.7216854409949941	0.7906388575892311	0.8811042876581472	1.1377531359060928	1.4182155631256608	0.46331547361574	1.3365263421741225	0.7639731586493627	4.815825760869134	0.020373714279337922	0.3289584041194712	0.0	-50.0369545837817
18000	-66.87618718490728	-14.866606319604834	-52.00958086530245	0.037420987979833474	0.03742098797983349	0.43178224687923034	0.24186195134900365	0.8459418833932777	1.9313389843301043	1.1887004704800237	2.057751850510808	0.842652688611014	0.26575516646503433	0.06410464558908995	5.497377825742249	0.4207550932300185	0.9842195324052561	0.0	-52.00958086530245
20000	-68.45409071863946	-15.44588625983456	-53.008204458804904	0.06917313140502417	0.06917313140502417	2.1451251647508607	1.4727215124010973	0.8762599814725918	1.0268478107339831	0.4388025605183208	0.8058876583394262	0.1690255500122999	1.806838414856447	0.22530948113448773	1.8980421909859686	0.8204885036071885	0.6305640630705269	0.0	-53.008204458804904
22000	-71.58004778013105	-20.455302232892585	-51.12474554723847	0.08971785413953935	0.08971785413953927	3.1767935854598033	0.6616486510766741	0.7787531645297815	0.4989370891134519	1.3679154803331819	1.4497428852229064	1.685981017542433	0.10253035516569946	0.5869391740157432	3.228270032201597	1.0700338111935075	0.1603039118894265	0.0	-51.12474554723847
24000	-61.183269513808185	-11.352006805825702	-49.83126270798248	0.05484759503334418	0.05484759503334417	0.1455260724901078	1.1671432195698674	0.2607074070290448	0.3049304872041722	0.3054285409501482	1.1001080654637518	1.2125240340209864	0.4516654112993829	0.2109677196626326	3.037877309743488	0.4078771967088553	0.596365957265554	0.0	-49.83126270798248
26000	-68.64170639782364	-15.387055402039351	-53.25465099578428	0.05816047598447112	0.05816047598447112	0.8743604984023873	2.92179413486839	0.12853056975889568	1.3322646564402107	0.09940152227171255	0.6418799965518075	0.8781592373971877	1.475107649701136	0.02665960033937424	2.7208525398123693	0.3986676846345084	1.6692845702542614	0.0	-53.25465099578428
28000	-64.81747397126352	-16.159320128661207	-48.658153842602324	0.05498419784542868	0.05498419784542871	0.24057228457535657	0.8055709189828031	1.346988953503699	0.8925825363681401	0.46871338924561695	1.232050240727232	0.853393077965278	1.8375347564527633	0.23490814743565294	5.094773523861938	0.08471239393181808	1.4361359275256331	0.0	-48.658153842602324
30000	-61.87706699345475	-12.82521171609133	-49.051855277363416	0.06467128800420938	0.06467128800420935	1.4735352515517763	0.5703104535686137	1.2456449035827342	0.009456672161170406	0.5004782912611863	0.7823460743909462	0.06953122320596931	1.039730601538398	0.21090527902934733	2.86516489026113	0.31074374027368046	0.8342683476188857	0.0	-49.051855277363416
32000	-68.13532115959906	-15.973055724720139	-52.162265434878925	0.08390074785394762	0.08390074785394756	0.2381989648365607	1.3698972254072033	1.3313619649292487	0.02490888905844345	0.29239247574005894	1.359968899505199	1.6115092595698135	0.9034560185616662	0.08688666972175513	2.5064622763536755	0.05125942317531675	1.425723082119486	0.0	-52.162265434878925
34000	-68.6871939093092	-19.284261939027278	-49.40293197028193	0.0643687683868992	0.06436876838689917	0.9265788299042941	0.46473118364529636	0.3500615688647442	0.9476919274793983	0.7696696718456973	2.792828966502972	0.3896294995361426	1.3146580049028398	1.2186181948094104	6.020848967306309	0.7312968198855714	0.29134318280875177	0.0	-49.40293197028193
36000	-65.21291449828809	-15.14053441398208	-50.072380084306005	0.05915887424108785	0.05915887424108783	0.6929506093141501	0.43583269350553877	1.798440937248971	0.4608825765285257	1.6409688561820246	1.2591630528089184	0.20467983725546457	1.2005222092553913	0.14460440555668824	2.7213025551038914	0.42969714286561433	1.3825229275591469	0.0	-50.072380084306005
38000	-63.70580789032594	-11.666680294581976	-52.03912759574397	0.04015143316894714	0.040151433168947176	0.7943750228288643	0.47353428866158087	0.5003467624193013	0.49777705548665824	0.6282088350794801	0.622809640008165	0.6256654265502609	1.6955699806193705	0.2705348025646147	3.1493841840815433	0.6107144593970164	1.3281399802180693	0.0	-52.03912759574397
40000	-66.3181450091464	-15.337951632577726	-50.98019337656868	0.064888304151228	0.06488830415122801	0.4341936765566876	0.34462437626755404	1.8564447331122036	0.5554614863211171	0.3322049230141158	1.4764563704235207	0.712061203774974	1.1697649664294996	0.23877456701802685	3.7145558100210034	0.3513690818535027	0.9512661648058438	0.0	-50.98019337656868
42000	-59.579434880057136	-12.24824723464761	-47.33118764540953	0.07225651988978236	0.07225651988978234	0.5183787932628299	1.1730450356509232	0.1369359285762025	0.12001059091685513	0.5441234303371756	0.8539907823918916	0.20947382361547517	0.8682715370830238	0.3078774780622294	2.6401053650061574	0.1893259592347541	0.9044287273363891	0.0	-47.33118764540953
44000	-61.83829971204686	-12.512400011863715	-49.32589970018315	0.06863102595233343	0.06863102595233347	0.6808380037019609	0.10427673058654124	0.8648304463221	0.14802757423738216	1.0816785015668156	1.6391947495643004	0.23920300141639034	1.942004211273564	0.25131988104997055	1.1431856069094464	0.02747080210059022	0.605261597922667	0.0	-49.32589970018315
46000	-78.71910758635238	-25.65693210080193	-53.062175485550455	0.07259172386652214	0.0725917238665221	3.352825194842549	1.051985854048169	0.7495036455057923	3.7546740658281363	0.12846895416643617	0.9249993684833687	1.9384567412587268	0.8030642645165402	0.748703756736268	4.881484017820526	0.755436936730635	2.5030571196066322	0.0	-53.062175485550455
48000	-61.7695090460812	-11.82598087852379	-49.9435281675574	0.061977667288366727	0.061977667288366796	0.7458821933846365	0.8356203296127477	0.4454639690391486	1.3584159830978506	0.5804555272751377	0.9673088341686558	0.7587177845017858	0.6613352929946028	0.26005073498992637	1.2668886859408062	0.24764048695991522	0.45804924839845107	0.0	-49.9435281675574
50000	-62.700244453129365	-14.903764980013854	-47.79647947311551	0.05431437945548353	0.05431437945548348	0.6198069125672122	0.6380836687666671	0.38047438047418763	1.1251202883057294	0.10527092493736591	1.4380961919213273	0.8673434039971653	1.206469266390631	0.07121619794390016	4.344946195635383	0.1814789623173956	1.5739763189548102	0.0	-47.79647947311551
52000	-61.30488801589917	-10.823527042580277	-50.481360973318885	0.049242042839970294	0.0492420428399703	0.021784623923750298	0.6444171159092076	0.35386246756744955	2.013692577530585	0.2166542659853334	0.4724706917905693	2.0291040353019594	0.41450936197320903	0.2753780824911051	1.679351535567156	0.25800632398412154	1.1697562254995937	0.0	-50.481360973318885
54000	-66.54827555964467	-17.07014487702686	-49.4781306826178	0.07127271463135992	0.0712727146313599	0.42178467079673004	0.1440871973295238	0.04342017564545552	0.16375142732312145	1.0481173714581984	0.639459905615287	0.32500663715794004	1.9038504903390328	0.2501683935407701	4.813166936562945	0.6332195309706847	3.2207250298003665	0.0	-49.4781306826178
56000	-62.316874066002505	-13.991587528313211	-48.325286537689294	0.06303318980946548	0.06303318980946554	0.20041416358545255	0.33930375417531095	1.0720889549151942	1.066596421449467	0.24739896566396585	2.1669585594728367	1.180550861658288	0.031747735957338374	0.11703943227612451	3.1562968486418286	0.13414295960650877	0.35951808508049077	0.0	-48.325286537689294
58000	-66.04127067741129	-14.093975219927803	-51.947295457483484	0.04849584115025446	0.04849584115025444	1.5523098648158176	1.301447883939248	0.47162445755505544	1.3127379149167597	0.9456847262818723	0.3245350655723325	0.7197394000549794	1.4024828645169953	0.25011882699725146	2.4681190950768017	0.03291997441631164	2.0825058135228107	0.0	-51.947295457483484
