year,variable,value,date
2018,week_18,1314,29/04/2018
2018,week_19,1213,06/05/2018
2018,week_20,1237,13/05/2018
2018,week_21,981,20/05/2018
2018,week_22,916,27/05/2018
2018,week_23,1036,03/06/2018
2018,week_24,985,10/06/2018
2018,week_25,766,17/06/2018
2018,week_26,873,24/06/2018
2018,week_27,879,01/07/2018
2018,week_28,787,08/07/2018
2018,week_29,686,15/07/2018
2018,week_30,535,22/07/2018
2018,week_31,442,29/07/2018
2018,week_32,383,05/08/2018
2018,week_33,381,12/08/2018
2018,week_34,309,19/08/2018
2018,week_35,218,26/08/2018
2018,week_36,153,02/09/2018
2018,week_37,154,09/09/2018
2018,week_38,138,16/09/2018
2018,week_39,97,23/09/2018
2018,week_40,114,30/09/2018
2018,week_41,87,07/10/2018
2018,week_42,67,14/10/2018
2018,week_43,61,21/10/2018
2018,week_44,4,28/10/2018
2018,week_45,0,04/11/2018
2018,week_46,0,11/11/2018
2018,week_47,0,18/11/2018
2018,week_48,0,25/11/2018
2018,week_49,0,02/12/2018
2018,week_50,0,09/12/2018
2018,week_51,0,16/12/2018
2018,week_52,0,23/12/2018
